name		procurori				dosare_solutionate																																			
UNITATEA DE PARCHET (ACTIVITATE PROPRIE)	POSTURI DE PROCUROR PREVĂZUTE IN SCHEMA	POSTURI DE PROCUROR OCUPATE EFECTIV	TOTAL LUCRĂRI DE SOLUȚIONAT, DIN CARE:	TOTAL DOSARE DE SOLUȚIONAT	TOTAL LUCRĂRI SOLUȚIONATE, DIN CARE:	TOTAL DOSARE SOLUȚIONATE	PRIN RECHIZITORIU	PRIN ACORDURI DE RECUNOAȘTERE A VINOVĂȚIEI	PRIN RENUNȚARE LA URMĂRIREA PENALĂ	PRIN CLASARE	DOSARE SOLUȚIONATE PÂNĂ ÎN 6 LUNI DE LA SESIZARE	DOSARE SOLUȚIONATE ÎNTRE 6 LUNI ȘI 1 AN DE LA SESIZARE	DOSARE SOLUȚIONATE PESTE 1 AN DE LA SESIZARE	DOSARE SOLUȚIONATE DUPĂ ÎMPLINIREA TERMENULUI DE PRESCRIPȚIE	DOSARE RĂMASE NESOLUȚIONATE (FĂRĂ A.N.)	DOSARE CU AUTOR NECUNOSCUT RĂMASE NESOLUȚIONATE	DOSARE RESTITUITE DE INSTANȚE SAU TRIMISE PROCURORULUI	DOSARE INFIRMATE SAU CU URMĂRIREA PENALĂ REDESCHISĂ	NR. INCULPAȚI SAU SUSPECȚI DIN CAUZELE SOLUȚIONATE	NR. INCULPAȚI TRIMIȘI ÎN JUDECATĂ PRIN RECHIZITORIU	NR. INCULPAȚI TRIMIȘI ÎN JUDECATĂ PRIN ACORDURI DE RECUNOAȘTERE A VINOVĂȚIEI	NR. INCULPAȚI TRIMIȘI ÎN JUDECATĂ ARESTAȚI PREVENTIV	PREJUDICII ÎN LEI PRODUSE DE INCULPAȚII TRIMIȘI ÎN JUDECATĂ	PREJUDICII ÎN EURO PRODUSE DE INCULPAȚII TRIMIȘI ÎN JUDECATĂ	VALOAREA MĂSURILOR ASIGURĂTORII ÎN LEI	NR. INCULPAȚI SAU SUSPECȚI NETRIMIȘI ÎN JUDECATĂ	NR. INCULPAȚI SAU SUSPECȚI NETRIMIȘI ÎN JUDECATĂ ARESTAȚI PREVENTIV	NR. INCULPAȚI ACHITAȚI DEFINITIV INDIFERENT DE PERIOADA TRIMITERII ÎN JUDECATĂ	NR. INCULPAȚI ACHITAȚI DEFINITIV ARESTAȚI PREVENTIV	NR. INCULPAȚI SAU SUSPECȚI PERSOANE JURIDICE DIN CAUZELE SOLUȚIONATE	NR. INCULPAȚI PERSOANE JURIDICE TRIMIȘI ÎN JUDECATĂ PRIN RECHIZITORIU	NR. INCULPAȚI PERSOANE JURIDICE TRIMIȘI ÎN JUDECATĂ PRIN ACORDURI DE RECUNOAȘTERE A VINOVĂȚIEI	NR. INCULPAȚI PERSOANE JURIDICE ACHITAȚI DEFINITIV INDIFERENT DE PERIOADA TRIMITERII ÎN JUDECATĂ	NR. INCULPAȚI SAU SUSPECȚI PERSOANE JURIDICE NETRIMIȘI ÎN JUDECATĂ	TOTAL PLÂNGERI ÎMPOTRIVA ACTELOR ȘI MĂSURILOR PROCURORULUI DE SOLUȚIONAT, DIN CARE:	TOTAL PLÂNGERI ÎMPOTRIVA ACTELOR ȘI MĂSURILOR PROCURORULUI SOLUȚIONATE, DIN CARE:	TOTAL PLÂNGERI ÎMPOTRIVA ACTELOR ȘI MĂSURILOR PROCURORULUI ADMISE	TOTAL CĂI DE ATAC DECLARATE DE PROCUROR ÎN CAUZELE PENALE, DIN CARE:	TOTAL CĂI DE ATAC ADMISE ÎN CAUZELE PENALE	TOTAL CĂI DE ATAC DECLARATE DE PROCUROR ÎN CAUZELE CIVILE, DIN CARE:	TOTAL CĂI DE ATAC ADMISE ÎN CAUZELE CIVILE
 CAMPULUNG	6	5	7,087	5,523	3,956	2,487	94	5	319	2,069	1,083	564	595	245	1,899	880	0	17	778	127	5	13	803,675	0	0	646	0	0	0	1	0	0	0	1	213	168	10	6	2	0	0
 CURTEA DE ARGES	4	4	9,184	5,320	5,650	1,923	154	0	35	1,734	568	438	726	191	2,647	486	0	61	402	213	0	0	457,352	0	0	189	0	3	0	1	1	0	0	0	161	150	32	48	28	0	0
 COSTESTI	3	3	5,984	4,134	3,531	1,839	69	1	243	1,526	565	372	686	216	1,446	717	0	5	574	96	1	12	238,919	43,164	0	477	0	0	0	0	0	0	0	0	93	46	2	8	9	3	0
 TOPOLOVENI	3	3	7,052	3,116	5,346	1,480	63	1	225	1,191	806	219	455	0	1,015	497	0	4	348	106	2	15	67,440	800	0	240	0	2	0	1	1	0	0	0	39	28	4	23	12	0	0
 RAMNICU VALCEA	13	10	29,548	18,351	17,655	6,666	252	1	479	5,934	2,236	1,426	1,632	1,372	3,016	7,320	0	43	1,678	293	1	24	2,460,188	10,970	21,772	1,384	6	4	0	1	0	0	0	1	576	530	45	34	10	2	0
 DRAGASANI	5	4	5,240	3,069	3,719	1,674	73	0	333	1,268	1,095	205	374	0	577	665	1	9	489	107	1	4	326,021	13,246	0	381	0	2	0	0	0	0	0	0	186	141	5	28	18	0	0
 HOREZU	6	4	7,034	4,084	5,146	2,290	192	4	315	1,779	1,083	428	723	56	781	655	1	17	647	227	4	2	972,152	4,220	0	416	0	0	0	1	1	0	0	0	181	158	5	51	30	0	0
 BREZOI	3	3	4,148	2,315	2,876	1,092	87	3	161	841	460	248	235	149	549	544	1	11	434	117	3	0	295,716	5,225	115,633	314	0	1	0	0	0	0	0	0	142	132	3	4	4	0	0
 BALCESTI	3	2	4,789	2,850	3,040	1,160	58	2	153	947	474	241	358	87	945	551	0	5	474	80	2	8	84,667	0	0	392	0	0	0	0	0	0	0	0	90	60	2	4	3	0	0
 BACAU	18	15	42,209	27,731	25,049	11,462	530	18	1,180	9,734	2,698	2,027	4,622	2,115	8,218	4,802	0	43	2,712	740	20	117	2,544,201	61,300	697,453	1,952	3	4	0	171	11	0	1	160	628	523	73	386	253	6	1
 ONESTI	7	5	10,764	6,258	6,932	3,182	252	0	321	2,609	2,288	392	280	222	1,245	1,499	0	43	806	327	1	20	1,074,518	13,070	0	478	0	3	0	0	0	0	0	0	247	211	17	36	32	1	0
 MOINESTI	7	5	8,267	4,932	6,316	3,192	336	2	732	2,122	2,682	296	140	74	904	407	0	33	1,365	426	2	22	2,828,601	0	90,000	937	0	6	0	10	1	0	1	9	205	181	17	52	28	0	0
 PODU TURCULUI	3	2	2,954	1,590	2,207	962	91	13	110	748	704	143	70	45	375	147	0	32	351	105	14	2	0	0	0	232	0	1	0	3	0	0	0	3	72	47	1	12	7	0	0
 BUHUSI	3	3	3,454	1,847	2,494	926	92	2	185	647	620	125	161	20	345	503	0	18	370	128	2	8	205,279	0	0	240	1	3	0	9	2	0	0	7	67	51	10	13	13	0	0
 PIATRA-NEAMT	12	8	19,421	14,341	9,653	4,920	196	3	851	3,870	1,568	1,603	1,372	377	4,584	2,911	0	30	987	251	3	46	1,498,828	10,100	0	733	0	12	0	3	0	0	0	3	324	267	10	22	13	1	1
 ROMAN	9	7	13,695	10,695	7,839	4,856	258	26	1,105	3,467	2,657	943	392	864	1,929	3,451	2	52	1,688	330	29	36	1,771,938	0	104,753	1,329	0	2	0	24	1	1	0	22	157	155	33	43	33	0	0
 TARGU NEAMT	4	4	6,274	3,755	4,488	2,042	109	0	227	1,706	1,097	612	299	34	1,094	375	0	44	697	152	0	13	495,285	6,300	260,397	545	0	3	0	0	0	0	0	0	200	182	9	11	10	0	0
