nume	cod	populatie	judecatori	stoc	dosare_solutionate		incarcatura	incarcatura_judecator	indice_atacabilitate	indice_casare		durata	performanta	operativitate	incarcatura	siguranta									
Denumirea instantei in clar (cu diactritice)	Codul informatic al instantei (din portal)	Populația	Numar de judecatori	Stoc (total volum de activitate al instantei)	Dosare solutionate	Operativitate (procent solutionate din stoc)	Incarcatura pe schema	Incarcatura pe judecator	Indice de atacabilitate (procent atacate din solutionate)	Indice de casare/desfiintare	Indicator de "siguranta" (100%-Desfiintare*Atacare) [ne mai gandim la denumire - certitudine/ stabilitate/ predictibilitate]	Durata in zile (extras din portal, ca diferenta dintre data inregistrarii dosarului si data solutionarii)	Performanta pentru gogoasa	Operativitatea relativa	Incarcatura relativa	Siguranta relativa									
Judecătoria RĂCARI	JudecatoriaRACARI	80726	5	4850	2875	59%	692.8571	970	9%	10%	99.10%	49	51.41%	82.99%	87.98%	85.70%									
Judecătoria RĂDĂUŢI	JudecatoriaRADAUTI	164993	11	9350	6720	72%	719.2308	850	9%	10%	99.10%	61	50.51%	84.94%	94.85%	82.60%									
Judecătoria RĂDUCĂNENI	JudecatoriaRADUCANENI	35158	5	1626	1225	75%	325.2	325.2	9%	10%	99.10%	42	54.77%	75.34%	90.75%	87.68%									
Judecătoria RÂMNICU SARAT	JudecatoriaRAMNICUSARAT	96906	7	5287	4251	80%	755.2857	755.2857	9%	10%	99.10%	48	54.49%	80.40%	92.21%	86.05%									
Judecătoria RÂMNICU VÂLCEA	JudecatoriaRAMNICUVALCEA	173773	24	25241	15587	62%	1051.708	1051.708	9%	10%	99.10%	57	40.71%	61.75%	93.95%	83.55%									
Judecătoria REGHIN	JudecatoriaREGHIN	96968	6	5014	4196	84%	716.2857	835.6667	9%	10%	99.10%	39	67.96%	97.63%	91.38%	88.39%									
Judecătoria REŞITA	JudecatoriaRESITA	116961	9	10442	7187	69%	949.2727	1160.222	9%	10%	99.10%	50	53.24%	84.12%	90.08%	85.51%									
Judecătoria ROMAN	JudecatoriaROMAN	153713	11	9188	5469	60%	706.7692	835.2727	9%	10%	99.10%	54	47.59%	70.35%	94.57%	84.44%									
Judecătoria ROŞIORI DE VEDE	JudecatoriaROSIORIDEVEDE	87881	8	5924	4733	80%	740.5	740.5	9%	10%	99.10%	61	45.18%	79.90%	91.57%	82.54%									
Judecătoria RUPEA	JudecatoriaRUPEA	37504	3	2382	1565	66%	794	794	9%	10%	99.10%	62	26.74%	65.70%	78.83%	82.17%									
Judecătoria SALIŞTE	JudecatoriaSALISTE	26125	4	1708	1218	71%	427	427	9%	10%	99.10%	56	37.81%	71.31%	83.66%	83.94%									
Judecătoria SALONTA	JudecatoriaSALONTA	53302	4	2452	1689	69%	613	613	9%	10%	99.10%	66	35.93%	68.88%	90.80%	81.23%									
Judecătoria SÂNNICOLAUL MARE	JudecatoriaSANNICOLAULMARE	63834	4	2913	2118	73%	728.25	728.25	9%	10%	99.10%	45	49.57%	72.71%	88.59%	86.81%									
Judecătoria SATU MARE	JudecatoriaSATUMARE	198049	20	17278	13562	78%	785.3636	863.9	9%	10%	99.10%	45	62.52%	86.34%	95.64%	86.98%									
Judecătoria SĂVENI	JudecatoriaSAVENI	57513	3	4180	2259	54%	1045	1393.333	9%	10%	99.10%	74	19.70%	72.06%	75.77%	79.04%									
Judecătoria SEBEŞ	JudecatoriaSEBES	50296	3	3239	2529	78%	809.75	1079.667	9%	10%	99.10%	37	62.06%	104.11%	78.53%	89.04%									
Judecătoria SECTORUL 1 BUCUREŞTI	JudecatoriaSECTORUL1BUCURESTI	225453	53	93104	69337	74%	1477.841	1756.679	9%	10%	99.10%	40	63.65%	88.52%	92.08%	88.22%									
Judecătoria SECTORUL 2 BUCUREŞTI	JudecatoriaSECTORUL2BUCURESTI	345370	37	100784	75315	75%	2290.545	2723.892	9%	10%	99.10%	37	65.61%	88.87%	92.11%	88.94%									
