Denumirea instantei in clar (cu diactritice),Codul informatic al instantei (din portal),Populația,Numar de judecatori,Stoc (total volum de activitate al instantei),Dosare solutionate,Operativitate (procent solutionate din stoc),Incarcatura pe schema,Incarcatura pe judecator,Indice de atacabilitate (procent atacate din solutionate),Indice de casare/desfiintare,"Indicator de ""siguranta"" (100%-Desfiintare*Atacare)",Durata in zile,Performanta pentru gogoasa,Operativitatea relativa,Incarcatura relativa,Siguranta relativa
Judecătoria ALBA IULIA,JudecatoriaALBAIULIA,130980,15,12468,10098,81%,779.25,831.2,13%,8%,98.96%,59,63.56%,86.39%,93.65%,83.06%
Judecătoria ALEŞD,JudecatoriaALESD,58233,5,3304,2306,70%,660.8,660.8,13%,8%,98.96%,113,30.44%,69.79%,88.65%,68.31%
Judecătoria ALEXANDRIA,JudecatoriaALEXANDRIA,117419,8,9257,6767,73%,771.42,1028.56,13%,8%,98.96%,108,50.15%,97.47%,91.24%,69.81%
Judecătoria ARAD,JudecatoriaARAD,256771,30,23513,20241,86%,758.48,758.48,13%,8%,98.96%,46,71.41%,86.08%,97.05%,86.47%
Judecătoria AVRIG,JudecatoriaAVRIG,34220,4,1715,1429,83%,428.75,571.67,13%,8%,98.96%,68,62.42%,111.10%,83.29%,80.48%
Judecătoria BABADAG,JudecatoriaBABADAG,42882,3,1564,1296,83%,521.33,521.33,13%,8%,98.96%,79,48.42%,82.86%,87.84%,77.60%
Judecătoria BACĂU,JudecatoriaBACAU,280580,34,28080,21591,77%,780,825.88,13%,8%,98.96%,106,48.15%,81.41%,97.06%,70.11%
Judecătoria BAIA DE ARAMĂ,JudecatoriaBAIADEARAMA,15955,3,1330,968,73%,443.33,443.33,13%,8%,98.96%,107,16.23%,72.78%,72.21%,69.92%
Judecătoria BAIA MARE,JudecatoriaBAIAMARE,237968,21,20883,15607,75%,907.96,907.96,13%,8%,98.96%,84,51.43%,74.74%,96.18%,76.30%
Judecătoria BĂILEŞTI,JudecatoriaBAILESTI,65153,7,5167,3959,77%,738.14,861.17,13%,8%,98.96%,92,46.25%,89.39%,86.78%,74.01%
Judecătoria BĂLCEŞTI,JudecatoriaBALCESTI,36697,5,2785,2067,74%,557,557,13%,8%,98.96%,86,38.07%,74.22%,84.82%,75.73%
Judecătoria BALŞ,JudecatoriaBALS,47160,8,4129,3421,83%,516.13,516.13,13%,8%,98.96%,54,58.35%,82.85%,89.06%,84.41%
Judecătoria BÂRLAD,JudecatoriaBARLAD,153788,12,6845,5581,82%,488.93,622.27,13%,8%,98.96%,72,71.03%,103.77%,95.95%,79.55%
Judecătoria BECLEAN,JudecatoriaBECLEAN,57133,4,3057,2130,70%,764.25,764.25,13%,8%,98.96%,84,37.99%,69.68%,86.62%,76.06%
Judecătoria BEIUŞ,JudecatoriaBEIUS,89607,7,3182,2587,81%,454.57,454.57,13%,8%,98.96%,73,57.20%,81.30%,94.93%,79.12%
Judecătoria BICAZ,JudecatoriaBICAZ,44197,5,2741,1470,54%,548.2,913.67,13%,8%,98.96%,152,17.59%,89.38%,79.33%,57.79%
Judecătoria BISTRIŢA,JudecatoriaBISTRITA,136054,19,17162,12839,75%,858.1,903.26,13%,8%,98.96%,70,55.31%,78.75%,93.36%,80.07%
Judecătoria BLAJ,JudecatoriaBLAJ,45726,4,2336,1547,66%,584,778.67,13%,8%,98.96%,99,39.20%,88.30%,82.97%,72.18%
Judecătoria BOLINTIN VALE,JudecatoriaBOLINTINVALE,105495,8,4453,3163,71%,556.63,742.17,13%,8%,98.96%,91,56.16%,94.71%,92.96%,74.25%
Judecătoria BOTOŞANI,JudecatoriaBOTOSANI,240507,28,39411,23825,60%,1407.54,1713.52,13%,8%,98.96%,161,20.67%,73.59%,92.88%,55.34%
Judecătoria BRAD,JudecatoriaBRAD,36892,3,2732,1849,68%,910.67,910.67,13%,8%,98.96%,101,18.83%,67.68%,75.32%,71.49%
Judecătoria BRĂILA,JudecatoriaBRAILA,230468,24,27763,21943,79%,1028.26,1322.05,13%,8%,98.96%,69,68.88%,101.62%,94.26%,80.22%
Judecătoria BRAŞOV,JudecatoriaBRASOV,384014,41,49668,37323,75%,1182.57,1342.38,13%,8%,98.96%,70,62.21%,85.30%,96.50%,80.02%
Judecătoria BREZOI,JudecatoriaBREZOI,30413,6,6160,2909,47%,880,1026.67,13%,8%,98.96%,124,0.00%,55.09%,66.24%,65.43%
Judecătoria BUFTEA,JudecatoriaBUFTEA,206050,15,23622,14276,60%,1389.53,1817.08,13%,8%,98.96%,121,35.39%,79.03%,91.18%,66.09%
Judecătoria BUHUŞI,JudecatoriaBUHUSI,37213,4,1925,1502,78%,481.25,481.25,13%,8%,98.96%,105,35.93%,78.03%,87.07%,70.48%
Judecătoria BUZĂU,JudecatoriaBUZAU,250318,27,45254,32646,72%,1616.21,2381.79,13%,8%,98.96%,118,50.66%,106.31%,90.48%,67.08%
Judecătoria CALAFAT,JudecatoriaCALAFAT,65482,5,5301,4387,83%,1060.2,1060.2,13%,8%,98.96%,59,50.79%,82.76%,83.81%,82.98%
Judecătoria CĂLĂRAŞI,JudecatoriaCALARASI,145094,11,8911,7778,87%,742.58,742.58,13%,8%,98.96%,47,69.37%,87.29%,94.88%,86.21%
